PParent,Parent,ObjectName,dist-X,dist-Y,Z
Group 5,Outer_Section_1,2_1 LED 1,-34.35187,42.09998,3.207691
Group 5,Outer_Section_1,2_1 LED 2,-27.2603,70.09998,2.808369
Group 5,Outer_Section_1,2_1 LED 3,-8.527237,151.7,1.223354
Group 5,Outer_Section_1,2_1 LED 4,16.53246,124.4,-1.499165
Group 5,Outer_Section_1,2_1 Speaker 1,6.801071,110.9,-0.2743454
Group 5,Outer_Section_1,2_1 Speaker 2,-17.78569,47,2.107052
Group 5,Outer_Section_2,2_1 LED 1,-34.33684,25.19995,-3.364807
Group 5,Outer_Section_2,2_1 LED 2,-27.29822,131.7,-2.412041
Group 5,Outer_Section_2,2_1 LED 3,-8.604492,93.09998,-0.4159184
Group 5,Outer_Section_2,2_1 LED 4,16.51675,179.9,1.66317
Group 5,Outer_Section_2,2_1 Speaker 1,6.33194,131.7,0.9778938
Group 5,Outer_Section_2,2_1 Speaker 2,-17.86255,75.59998,-1.303936
Group 5,Inner_Section,2_1 LED 1,-20.47416,140.4,-12.46667
Group 5,Inner_Section,2_1 LED 2,20.50377,189.5,8.754761
Group 5,Inner_Section,2_1 LED 3,-20.58396,182.8,12.42186
Group 5,Inner_Section,2_1 LED 4,20.37284,217.4,-8.926653
Group 5,Inner_Section,2_1 Speaker 1,9.161705,196.2,-0.2877769
Group 5,Inner_Section,2_1 Speaker 2,-10.75933,176.7,-2.063194
Group 6,Outer_Section_1,2_1 LED 1,-33.19093,68.19995,-9.418339
Group 6,Outer_Section_1,2_1 LED 2,-26.43402,118.7,-7.228897
Group 6,Outer_Section_1,2_1 LED 3,-8.393387,110.4999,-1.939686
Group 6,Outer_Section_1,2_1 LED 4,15.9575,166.6,4.574345
Group 6,Outer_Section_1,2_1 Speaker 1,6.440872,101.8,2.201035
Group 6,Outer_Section_1,2_1 Speaker 2,-17.34581,27.29993,-4.46022
Group 6,Outer_Section_2,2_1 LED 1,-30.8026,46.89996,-15.54158
Group 6,Outer_Section_2,2_1 LED 2,-24.58349,77.89996,-12.11052
Group 6,Outer_Section_2,2_1 LED 3,-7.873253,111.8,-3.496155
Group 6,Outer_Section_2,2_1 LED 4,14.80051,163.2,7.517433
Group 6,Outer_Section_2,2_1 Speaker 1,5.551033,131.7,3.199234
Group 6,Outer_Section_2,2_1 Speaker 2,-16.1853,69.89996,-7.66864
Group 6,Inner_Section,2_1 LED 1,-14.58813,147.6,-19.02099
Group 6,Inner_Section,2_1 LED 2,15.95647,167.6,15.57043
Group 6,Inner_Section,2_1 LED 3,-23.6814,202.4,4.147179
Group 6,Inner_Section,2_1 LED 4,22.22168,206.5,-0.9642715
Group 6,Inner_Section,2_1 Speaker 1,8.646877,185.5,3.041267
Group 6,Inner_Section,2_1 Speaker 2,-9.287537,158.8,-5.810627
Group 7,Outer_Section_1,2_1 LED 1,-27.54735,42.09998,-20.77219
Group 7,Outer_Section_1,2_1 LED 2,-22.03758,70.09998,-16.2897
Group 7,Outer_Section_1,2_1 LED 3,-7.125877,151.7,-4.840668
Group 7,Outer_Section_1,2_1 LED 4,13.22762,124.4,10.02997
Group 7,Outer_Section_1,2_1 Speaker 1,5.210884,110.9,4.379135
Group 7,Outer_Section_1,2_1 Speaker 2,-14.56329,47,-10.425
Group 7,Outer_Section_2,2_1 LED 1,-23.10837,25.20001,-25.61919
Group 7,Outer_Section_2,2_1 LED 2,-18.54865,131.7,-20.17319
Group 7,Outer_Section_2,2_1 LED 3,-6.07859,93.09998,-6.104156
Group 7,Outer_Section_2,2_1 LED 4,11.08556,179.9,12.35638
Group 7,Outer_Section_2,2_1 Speaker 1,4.020569,131.7,4.988495
Group 7,Outer_Section_2,2_1 Speaker 2,-12.32211,75.59998,-12.99751
Group 7,Inner_Section,2_1 LED 1,-6.731853,140.4,-23.00632
Group 7,Inner_Section,2_1 LED 2,9.254414,189.5,20.28317
Group 7,Inner_Section,2_1 LED 3,-23.58029,182.8,-4.687439
Group 7,Inner_Section,2_1 LED 4,21.06955,217.4,7.128242
Group 7,Inner_Section,2_1 Speaker 1,6.964447,196.2,5.959557
Group 7,Inner_Section,2_1 Speaker 2,-6.561287,176.7,-8.773216
Group 8,Outer_Section_1,2_1 LED 1,-18.18328,68.19995,-29.32083
Group 8,Outer_Section_1,2_1 LED 2,-14.66488,118.7,-23.15073
Group 8,Outer_Section_1,2_1 LED 3,-4.896015,110.5,-7.088058
Group 8,Outer_Section_1,2_1 LED 4,8.711044,166.6,14.13095
Group 8,Outer_Section_1,2_1 Speaker 1,3.277042,101.8,5.965744
Group 8,Outer_Section_1,2_1 Speaker 2,-9.813869,27.29999,-14.98196
Group 8,Outer_Section_2,2_1 LED 1,-12.29311,46.90002,-32.23694
Group 8,Outer_Section_2,2_1 LED 2,-10.00861,77.90002,-25.51157
Group 8,Outer_Section_2,2_1 LED 3,-3.463043,111.8,-7.887863
Group 8,Outer_Section_2,2_1 LED 4,5.87326,163.2,15.52649
Group 8,Outer_Section_2,2_1 Speaker 1,1.946968,131.7,6.103973
Group 8,Outer_Section_2,2_1 Speaker 2,-6.794746,69.90002,-16.57114
Group 8,Inner_Section,2_1 LED 1,2.033627,147.6,-23.88466
Group 8,Inner_Section,2_1 LED 2,1.302269,167.6,22.25647
Group 8,Inner_Section,2_1 LED 3,-20.29467,202.4,-12.88927
Group 8,Inner_Section,2_1 LED 4,17.07167,206.5,14.25803
Group 8,Inner_Section,2_1 Speaker 1,4.341263,185.5,8.072868
Group 8,Inner_Section,2_1 Speaker 2,-2.948948,158.8,-10.55109
Group 9,Outer_Section_1,2_1 LED 1,-6.363609,42.10004,-33.90938
Group 9,Outer_Section_1,2_1 LED 2,-5.311653,70.10004,-26.88487
Group 9,Outer_Section_1,2_1 LED 3,-2.004929,151.7,-8.377975
Group 9,Outer_Section_1,2_1 LED 4,3.018188,124.4,16.32361
Group 9,Outer_Section_1,2_1 Speaker 1,0.9006958,110.9,6.74675
Group 9,Outer_Section_1,2_1 Speaker 2,-3.739128,47,-17.5154
Group 9,Outer_Section_2,2_1 LED 1,0.182251,25.20001,-34.50082
Group 9,Outer_Section_2,2_1 LED 2,-0.1170044,131.7,-27.40433
Group 9,Outer_Section_2,2_1 LED 3,-0.379776,93.10004,-8.606171
Group 9,Outer_Section_2,2_1 LED 4,-0.1320877,179.9,16.59976
Group 9,Outer_Section_2,2_1 Speaker 1,-0.389473,131.7,6.395172
Group 9,Outer_Section_2,2_1 Speaker 2,-0.3497772,75.60004,-17.90666
Group 9,Inner_Section,2_1 LED 1,10.52438,140.4,-21.5371
Group 9,Inner_Section,2_1 LED 2,-6.825554,189.5,21.2241
Group 9,Inner_Section,2_1 LED 3,-14.2681,182.8,-19.35
Group 9,Inner_Section,2_1 LED 4,10.76836,217.4,19.4623
Group 9,Inner_Section,2_1 Speaker 1,1.131897,196.2,9.096077
Group 9,Inner_Section,2_1 Speaker 2,1.061661,176.7,-10.9038
Group 10,Outer_Section_1,2_1 LED 1,6.315704,68.20001,-33.91837
Group 10,Outer_Section_1,2_1 LED 2,4.759048,118.7,-26.98825
Group 10,Outer_Section_1,2_1 LED 3,1.156982,110.5,-8.53656
Group 10,Outer_Section_1,2_1 LED 4,-3.082443,166.6,16.31149
Group 10,Outer_Section_1,2_1 Speaker 1,-1.597351,101.8,6.616486
Group 10,Outer_Section_1,2_1 Speaker 2,2.840729,27.30005,-17.68338
Group 10,Outer_Section_2,2_1 LED 1,12.63318,46.90002,-32.10522
Group 10,Outer_Section_2,2_1 LED 2,9.790588,77.90002,-25.59604
Group 10,Outer_Section_2,2_1 LED 3,2.754791,111.8,-8.162247
Group 10,Outer_Section_2,2_1 LED 4,-6.119751,163.2,15.43098
Group 10,Outer_Section_2,2_1 Speaker 1,-2.673401,131.7,5.82254
Group 10,Outer_Section_2,2_1 Speaker 2,6.142548,69.90002,-16.82382
Group 10,Inner_Section,2_1 LED 1,17.59384,147.6,-16.28094
Group 10,Inner_Section,2_1 LED 2,-14.03172,167.6,17.32507
Group 10,Inner_Section,2_1 LED 3,-6.314514,202.4,-23.19774
Group 10,Inner_Section,2_1 LED 4,3.010544,206.5,22.03792
Group 10,Inner_Section,2_1 Speaker 1,-2.230438,185.5,8.890602
Group 10,Inner_Section,2_1 Speaker 2,4.928909,158.8,-9.784058
Group 11,Outer_Section_1,2_1 LED 1,18.14182,42.10004,-29.34645
Group 11,Outer_Section_1,2_1 LED 2,14.18686,70.10004,-23.44661
Group 11,Outer_Section_1,2_1 LED 3,4.162521,151.7,-7.54213
Group 11,Outer_Section_1,2_1 LED 4,-8.766693,124.4,14.09663
Group 11,Outer_Section_1,2_1 Speaker 1,-3.879654,110.9,5.592712
Group 11,Outer_Section_1,2_1 Speaker 2,9.036804,47,-15.46306
Group 11,Outer_Section_2,2_1 LED 1,23.37773,25.20001,-25.37364
Group 11,Outer_Section_2,2_1 LED 2,18.37569,131.7,-20.33086
Group 11,Outer_Section_2,2_1 LED 3,5.517258,93.10004,-6.615875
Group 11,Outer_Section_2,2_1 LED 4,-11.28082,179.9,12.17839
Group 11,Outer_Section_2,2_1 Speaker 1,-4.596237,131.7,4.463699
Group 11,Outer_Section_2,2_1 Speaker 2,11.80515,75.59998,-13.46881
Group 11,Inner_Section,2_1 LED 1,22.28705,140.4,-8.82589
Group 11,Inner_Section,2_1 LED 2,-19.34274,189.5,11.08645
Group 11,Inner_Section,2_1 LED 3,2.49173,182.8,-23.9122
Group 11,Inner_Section,2_1 LED 4,-5.153763,217.4,21.6374
Group 11,Inner_Section,2_1 Speaker 1,-5.291519,196.2,7.484627
Group 11,Inner_Section,2_1 Speaker 2,8.130402,176.7,-7.342781
Group 12,Outer_Section_1,2_1 LED 1,27.51804,68.19995,-20.81111
Group 12,Outer_Section_1,2_1 LED 2,21.69888,118.7,-16.73842
Group 12,Outer_Section_1,2_1 LED 3,6.606079,110.4999,-5.529144
Group 12,Outer_Section_1,2_1 LED 4,-13.26691,166.6,9.977715
Group 12,Outer_Section_1,2_1 Speaker 1,-5.637909,101.8,3.813507
Group 12,Outer_Section_1,2_1 Speaker 2,14.01254,27.29993,-11.15438
Group 12,Outer_Section_2,2_1 LED 1,30.96518,46.89996,-15.21513
Group 12,Outer_Section_2,2_1 LED 2,24.47928,77.89996,-12.31983
Group 12,Outer_Section_2,2_1 LED 3,7.534698,111.7999,-4.176079
Group 12,Outer_Section_2,2_1 LED 4,-14.91832,163.2,7.2808
Group 12,Outer_Section_2,2_1 Speaker 1,-5.898254,131.7,2.501854
Group 12,Outer_Section_2,2_1 Speaker 2,15.87354,69.89996,-8.294762
Group 12,Inner_Section,2_1 LED 1,23.97041,147.6,-0.1788712
Group 12,Inner_Section,2_1 LED 2,-22.04135,167.6,3.350273
Group 12,Inner_Section,2_1 LED 3,10.96176,202.4,-21.39739
